,index_code,con_code,trade_date,weight,prev,pct_chg
0,399300.SZ,600519.SH,20231130,6.531,0.0586,0.0586
1,399300.SZ,601318.SH,20231130,2.565,0.0994,0.0994
2,399300.SZ,300750.SZ,20231130,2.557,0.1657,0.1657
3,399300.SZ,600036.SH,20231130,2.068,-0.6074,-0.6074
4,399300.SZ,000858.SZ,20231130,1.68,0.1499,0.1499
5,399300.SZ,000333.SZ,20231130,1.474,1.0731,1.0731
6,399300.SZ,600900.SH,20231130,1.297,0.2577,0.2577
7,399300.SZ,600276.SH,20231130,1.245,1.0726,1.0726
8,399300.SZ,601166.SH,20231130,1.232,9.9729,9.9729
9,399300.SZ,600030.SH,20231130,1.215,0.0,0.0
10,399300.SZ,601899.SH,20231130,1.165,0.8907,0.8907
11,399300.SZ,300059.SZ,20231130,1.078,0.5731,0.5731
12,399300.SZ,002594.SZ,20231130,1.048,-0.0252,-0.0252
13,399300.SZ,600887.SH,20231130,1.007,-0.3724,-0.3724
14,399300.SZ,603259.SH,20231130,0.984,-0.9394,-0.9394
15,399300.SZ,601398.SH,20231130,0.979,0.2096,0.2096
16,399300.SZ,002415.SZ,20231130,0.945,2.5702,2.5702
17,399300.SZ,601328.SH,20231130,0.931,0.0,0.0
18,399300.SZ,002475.SZ,20231130,0.922,3.7651,3.7651
19,399300.SZ,000568.SZ,20231130,0.886,-0.039,-0.039
20,399300.SZ,600309.SH,20231130,0.882,-1.7647,-1.7647
21,399300.SZ,000651.SZ,20231130,0.862,-0.4333,-0.4333
22,399300.SZ,000725.SZ,20231130,0.842,2.0942,2.0942
23,399300.SZ,300760.SZ,20231130,0.819,0.031,0.031
24,399300.SZ,601012.SH,20231130,0.747,0.6593,0.6593
25,399300.SZ,601816.SH,20231130,0.72,0.6135,0.6135
26,399300.SZ,300124.SZ,20231130,0.714,0.7178,0.7178
27,399300.SZ,601288.SH,20231130,0.678,0.2755,0.2755
28,399300.SZ,600809.SH,20231130,0.677,-1.1058,-1.1058
29,399300.SZ,002714.SZ,20231130,0.62,0.9809,0.9809
30,399300.SZ,688981.SH,20231130,0.61,-0.207,-0.207
31,399300.SZ,601668.SH,20231130,0.605,-0.2075,-0.2075
32,399300.SZ,600028.SH,20231130,0.604,2.011,2.011
33,399300.SZ,601088.SH,20231130,0.603,0.4164,0.4164
34,399300.SZ,002352.SZ,20231130,0.6,1.0505,1.0505
35,399300.SZ,000625.SZ,20231130,0.588,-0.3552,-0.3552
36,399300.SZ,300498.SZ,20231130,0.586,1.4156,1.4156
37,399300.SZ,600016.SH,20231130,0.555,0.0,0.0
38,399300.SZ,600919.SH,20231130,0.553,-0.5944,-0.5944
39,399300.SZ,000001.SZ,20231130,0.545,-0.6349,-0.6349
40,399300.SZ,600837.SH,20231130,0.545,0.0,0.0
41,399300.SZ,002142.SZ,20231130,0.527,-0.4455,-0.4455
42,399300.SZ,603501.SH,20231130,0.521,-1.966,-1.966
43,399300.SZ,600406.SH,20231130,0.513,2.011,2.011
44,399300.SZ,601888.SH,20231130,0.505,-1.5643,-1.5643
45,399300.SZ,300274.SZ,20231130,0.502,-2.0246,-2.0246
46,399300.SZ,000792.SZ,20231130,0.5,0.5041,0.5041
47,399300.SZ,601988.SH,20231130,0.488,0.0,0.0
48,399300.SZ,600690.SH,20231130,0.486,-0.3795,-0.3795
49,399300.SZ,600050.SH,20231130,0.486,0.2288,0.2288
50,399300.SZ,002230.SZ,20231130,0.481,0.7166,0.7166
51,399300.SZ,601601.SH,20231130,0.479,-0.5021,-0.5021
52,399300.SZ,600941.SH,20231130,0.477,1.9367,1.9367
53,399300.SZ,000063.SZ,20231130,0.474,0.6844,0.6844
54,399300.SZ,601857.SH,20231130,0.472,0.0,0.0
55,399300.SZ,600031.SH,20231130,0.471,0.5109,0.5109
56,399300.SZ,000338.SZ,20231130,0.469,0.9615,0.9615
57,399300.SZ,601728.SH,20231130,0.468,1.1215,1.1215
58,399300.SZ,600000.SH,20231130,0.467,-0.8982,-0.8982
59,399300.SZ,300015.SZ,20231130,0.462,-2.2854,-2.2854
60,399300.SZ,300122.SZ,20231130,0.454,2.3104,2.3104
61,399300.SZ,000002.SZ,20231130,0.452,-0.5703,-0.5703
62,399300.SZ,600436.SH,20231130,0.443,-0.5384,-0.5384
63,399300.SZ,601225.SH,20231130,0.438,1.6545,1.6545
64,399300.SZ,601688.SH,20231130,0.428,-0.0716,-0.0716
65,399300.SZ,600048.SH,20231130,0.428,-0.5025,-0.5025
66,399300.SZ,688012.SH,20231130,0.427,-3.9279,-3.9279
67,399300.SZ,600089.SH,20231130,0.408,-0.5047,-0.5047
68,399300.SZ,002304.SZ,20231130,0.408,-0.4349,-0.4349
69,399300.SZ,600104.SH,20231130,0.404,0.074,0.074
70,399300.SZ,601211.SH,20231130,0.395,0.2695,0.2695
71,399300.SZ,601169.SH,20231130,0.389,0.2212,0.2212
72,399300.SZ,601985.SH,20231130,0.385,1.4885,1.4885
73,399300.SZ,002027.SZ,20231130,0.384,1.12,1.12
74,399300.SZ,600438.SH,20231130,0.384,-1.8046,-1.8046
75,399300.SZ,600905.SH,20231130,0.382,-0.4556,-0.4556
76,399300.SZ,601919.SH,20231130,0.37,-0.4158,-0.4158
77,399300.SZ,603288.SH,20231130,0.369,0.2377,0.2377
