,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg
0,20230103,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.006685999999999999,0,0,0.4201
1,20230104,0.006666666666666667,0.0033333333333333335,0,0,0,0.0033333333333333335,0,-0.005209,0,0,0.1299
2,20230105,0.016666666666666666,0,0,0,0,0.016666666666666666,0.0033333333333333335,0.012076,0.002177,0,1.9428
3,20230106,0.01,0,0,0,0,0.01,0,0.004235,0,0,0.3102
4,20230109,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.008835,0,0,0.8096
5,20230110,0,0,0,0,0,0,0,0,0,0,0.1085
6,20230111,0,0,0,0,0,0,0,0,0,0,-0.1853
7,20230112,0,0,0,0,0,0,0,0,0,0,0.1955
8,20230113,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.0016550000000000002,0,0,1.4064
9,20230116,0.006666666666666667,0,0,0,0,0.006666666666666667,0,0.010771,0,0,1.5607
10,20230117,0,0,0,0,0,0,0,0,0,0,-0.0175
11,20230118,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.001664,0,0,-0.1675
12,20230119,0,0,0,0,0,0,0,0,0,0,0.6221
13,20230120,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.0036049999999999997,0,0,0.614
14,20230130,0.013333333333333334,0,0,0,0,0.013333333333333334,0,0.0066549999999999995,0,0,0.4739
15,20230131,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.00107,0,0,-1.0589
16,20230201,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.000419,0,0,0.94
17,20230202,0,0,0,0,0,0,0,0,0,0,-0.3523
18,20230203,0.0033333333333333335,0,0,0,0,0.0033333333333333335,0,0.002447,0,0,-0.9451
19,20230206,0,0,0,0,0,0,0,0,0,0,-1.322
20,20230207,0.01,0,0,0,0,0.01,0,0.004942,0,0,0.18
