,Unnamed: 0,trade_date,涨停比率,跌停比率,地天板比率,天地板比率,天地板比率剪刀差,涨跌停比率剪刀差,连板比率剪刀差,自由流通市值加权涨跌停比率剪刀差,自由流通市值加权连板比率剪刀差,自由流通市值加权地天与天地板比率剪刀差,pct_chg,return,value
0,0,20230103,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.0066859999999999,0.0,0,0.4201,1.0,1.0
1,1,20230104,0.0066666666666666,0.0033333333333333,0,0,0,0.0033333333333333,0.0,-0.005209,0.0,0,0.1299,1.0,1.001299
2,2,20230105,0.0166666666666666,0.0,0,0,0,0.0166666666666666,0.0033333333333333,0.012076,0.002177,0,1.9428,1.0,1.020752236972
3,3,20230106,0.01,0.0,0,0,0,0.01,0.0,0.004235,0.0,0,0.3102,1.003102,1.023918610411087
4,4,20230109,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.008835,0.0,0,0.8096,1.003102,1.032208255480975
5,5,20230110,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.1085,1.003102,1.033328201438172
6,6,20230111,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.1853,1.003102,1.031413444280907
7,7,20230112,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.1955,1.003102,1.0334298575644763
8,8,20230113,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.001655,0.0,0,1.4064,1.003102,1.047964015081263
9,9,20230116,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.010771,0.0,0,1.5607,1.003102,1.0643195894646362
10,10,20230117,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.0175,1.003102,1.06413333353648
11,11,20230118,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.001664,0.0,0,-0.1675,1.003102,1.0623509102028064
12,12,20230119,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.6221,1.003102,1.0689597952151781
13,13,20230120,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.0036049999999999,0.0,0,0.614,1.003102,1.0755232083577995
14,14,20230130,0.0133333333333333,0.0,0,0,0,0.0133333333333333,0.0,0.0066549999999999,0.0,0,0.4739,1.003102,1.080620112842207
15,15,20230131,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.00107,0.0,0,-1.0589,1.003102,1.069177426467321
16,16,20230201,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.000419,0.0,0,0.94,1.003102,1.0792276942761139
17,17,20230202,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3523,1.003102,1.075425575109179
18,18,20230203,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.002447,0.0,0,-0.9451,1.003102,1.0652617279988221
19,19,20230206,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-1.322,1.003102,1.0511789679546777
20,20,20230207,0.01,0.0,0,0,0,0.01,0.0,0.004942,0.0,0,0.18,1.003102,1.0530710900969962
21,21,20230208,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0033333333333333,0.001016,0.001016,0,-0.4419,1.003102,1.0484175689498576
22,22,20230209,0.01,0.0,0,0,0,0.01,0.0033333333333333,0.002627,0.001016,0,1.3423,1.003102,1.0624904779778714
23,23,20230210,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.5942,1.003102,1.056177159557727
24,24,20230213,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.006292,0.0,0,0.9075,1.003102,1.0657619672807133
25,25,20230214,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.0414,1.003102,1.0662031927351674
26,26,20230215,0.01,0.0,0,0,0,0.01,0.0,0.003345,0.0,0,-0.5211,1.003102,1.0606472078978244
27,27,20230216,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.7324,1.003102,1.0528790277471807
28,28,20230217,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-1.4408,1.003102,1.0377091467153994
29,29,20230220,0.01,0.0,0,0,0,0.01,0.0,0.0066029999999999,0.0,0,2.4534,1.003102,1.0631683029209151
30,30,20230221,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.2628,1.003102,1.0659623092209913
31,31,20230222,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.9025,1.003102,1.0563419993802718
32,32,20230223,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.0805,1.003102,1.055491644070771
33,33,20230224,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-1.0381,1.003102,1.0445345853136723
34,34,20230227,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.4236,1.003102,1.0401099368102835
35,35,20230228,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.6334,1.003102,1.04669799315004
36,36,20230301,0.01,0.0,0,0,0,0.01,0.0,0.0104369999999999,0.0,0,1.4125,1.003102,1.0614826023032842
37,37,20230302,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.000306,0.0,0,-0.223,1.003102,1.0591154961001479
38,38,20230303,0.0033333333333333,0.0033333333333333,0,0,0,0.0,0.0,-0.00022,0.0,0,0.3112,1.003102,1.0624114635240116
39,39,20230306,0.0066666666666666,0.0033333333333333,0,0,0,0.0033333333333333,-0.0033333333333333,0.0038329999999999,-0.002209,0,-0.5215,1.003102,1.056870987741734
40,40,20230307,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-1.4641,1.003102,1.0413973396102072
41,41,20230308,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.3642,1.003102,1.0376045704993468
42,42,20230309,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.0030229999999999,0.0,0,-0.3534,1.003102,1.033937675947202
43,43,20230310,0.0,0.0033333333333333,0,0,0,-0.0033333333333333,0.0,-0.002197,0.0,0,-1.3114,1.003102,1.0203786172648306
44,44,20230313,0.0133333333333333,0.0,0,0,0,0.0133333333333333,0.0,0.010222,0.0,0,1.0474,1.003102,1.0310660629020625
45,45,20230314,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.00417,0.0,0,-0.5985,1.003102,1.0248951325155937
46,46,20230315,0.0,0.0033333333333333,0,0,0,-0.0033333333333333,0.0,-0.001076,0.0,0,0.0554,1.003102,1.0254629244190072
47,47,20230316,0.0,0.0066666666666666,0,0,0,-0.0066666666666666,0.0,-0.004321,0.0,0,-1.1977,1.003102,1.0131809549732407
48,48,20230317,0.0166666666666666,0.0033333333333333,0,0,0,0.0133333333333333,0.0,0.005627,0.0,0,0.4993,1.003102,1.018239767481422
49,49,20230320,0.0,0.01,0,0,0,-0.01,0.0,-0.013186,0.0,0,-0.4987,1.003102,1.0131618057609924
50,50,20230321,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,1.0993,1.003102,1.024299493491723
51,51,20230322,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.002999,0.0,0,0.4285,1.003102,1.028688616821335
52,52,20230323,0.0333333333333333,0.0,0,0,0,0.0333333333333333,0.0,0.022765,0.0,0,0.9913,1.003102,1.0388860070798849
53,53,20230324,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.001625,0.0,0,-0.2982,1.0001107498359998,1.0357880490067726
54,54,20230327,0.01,0.0033333333333333,0,0,0,0.0066666666666666,0.0,0.0042299999999999,0.0,0,-0.3618,1.0001107498359998,1.032040567845466
55,55,20230328,0.0033333333333333,0.0,0,0,0,0.0033333333333333,0.0,0.002103,0.0,0,-0.3231,1.0001107498359998,1.0287060447707574
56,56,20230329,0.01,0.0,0,0,0,0.01,0.0033333333333333,0.007991,0.002103,0,0.1658,1.0001107498359998,1.0304116393929872
57,57,20230330,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0.8083,1.0001107498359998,1.0387404566742007
58,58,20230331,0.0133333333333333,0.0033333333333333,0,0,0,0.01,0.0,0.00887,0.0,0,0.307,1.0001107498359998,1.0419293898761903
59,59,20230403,0.03,0.0,0,0,0,0.03,0.0,0.031342,0.0,0,0.9786,1.0001107498359998,1.0521257108855189
60,60,20230404,0.01,0.0,0,0,0,0.01,0.0,0.007001,0.0,0,0.3065,1.0031760892842472,1.055350476189383
61,61,20230406,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,-0.1576,1.0031760892842472,1.0536872438389087
62,62,20230407,0.0066666666666666,0.0,0,0,0,0.0066666666666666,0.0,0.006914,0.0,0,0.6503,1.0031760892842472,1.0605393719855931
